chunk_size_tokens,faithfulness_coverage,forbidden_point_violation_rows,items,mean_answer_relevance,mean_evidence_fact_recall_at_k,mean_faithfulness,mean_required_point_coverage,metadata_filter_leakage,p50_question_to_response_ms,p95_question_to_response_ms,relevance_coverage,required_point_coverage_coverage,reranking,top_k,variant_id
1024,0.95,0,20,0.545172,0.6375,0.791479,0.9,0,8738.5165,13826.7834,1.0,1.0,cross_encoder,1,chunk-1024_topk-1_rerank-ce
1024,0.8,0,20,0.357663,0.2875,0.712798,0.7,0,7670.487,15728.08965,1.0,1.0,none,1,chunk-1024_topk-1_rerank-none
1024,1.0,0,20,0.640958,0.85,0.836071,0.975,0,8679.4645,20491.27695,1.0,1.0,cross_encoder,3,chunk-1024_topk-3_rerank-ce
1024,0.95,0,20,0.491034,0.6,0.79812,0.9,0,8821.9695,17450.13285,1.0,1.0,none,3,chunk-1024_topk-3_rerank-none
1024,1.0,0,20,0.663191,0.95,0.909524,0.975,0,10862.915,21596.52685,1.0,1.0,cross_encoder,5,chunk-1024_topk-5_rerank-ce
1024,1.0,0,20,0.568916,0.875,0.846528,0.9125,0,7526.424,16138.91885,1.0,1.0,none,5,chunk-1024_topk-5_rerank-none
256,1.0,0,20,0.575807,0.6375,0.835833,0.895833,0,6985.0405,10963.945,1.0,0.9,cross_encoder,1,chunk-256_topk-1_rerank-ce
256,1.0,0,20,0.488497,0.5375,0.740833,0.809211,0,7951.5035,14346.76365,1.0,0.95,none,1,chunk-256_topk-1_rerank-none
256,0.95,0,20,0.599607,0.8875,0.865789,0.95,0,7617.083,13904.58905,1.0,1.0,cross_encoder,3,chunk-256_topk-3_rerank-ce
256,1.0,0,20,0.713446,0.8125,0.8775,0.93125,0,7410.5175,13145.44695,1.0,1.0,none,3,chunk-256_topk-3_rerank-none
256,1.0,0,20,0.713584,0.929167,0.810606,0.947368,0,7511.8185,12872.0431,1.0,0.95,cross_encoder,5,chunk-256_topk-5_rerank-ce
256,1.0,0,20,0.622855,0.8375,0.871944,0.95,0,7325.049,17815.75155,1.0,1.0,none,5,chunk-256_topk-5_rerank-none
512,1.0,0,20,0.544656,0.720833,0.832024,0.860417,0,7081.1205,12302.38695,1.0,1.0,cross_encoder,1,chunk-512_topk-1_rerank-ce
512,0.85,0,20,0.44097,0.504167,0.818067,0.758333,0,6273.759,15958.66015,1.0,1.0,none,1,chunk-512_topk-1_rerank-none
512,1.0,0,20,0.655842,0.891667,0.838194,0.9125,0,7678.336,15256.5221,1.0,1.0,cross_encoder,3,chunk-512_topk-3_rerank-ce
512,0.95,0,20,0.691494,0.816667,0.85,0.9125,0,7202.8665,12087.7262,1.0,1.0,none,3,chunk-512_topk-3_rerank-none
512,1.0,0,20,0.732971,0.966667,0.901958,0.966667,0,6576.167,16419.36915,1.0,1.0,cross_encoder,5,chunk-512_topk-5_rerank-ce
512,1.0,0,20,0.607897,0.866667,0.808333,0.925,0,6811.531,16562.4351,1.0,1.0,none,5,chunk-512_topk-5_rerank-none
